2019-07-01T16:25:42.691905{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3669, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:44.257982{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3649, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.254376{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3652, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:28:44.419849{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3575, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:29:43.943848{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3492, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:30:44.942490{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3449, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.296654{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3516, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.826145{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3585, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.290032{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3611, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:34:44.089462{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3611, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:44.086463{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3611, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:36:44.227687{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3611, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
