2019-07-01T16:05:44.231722{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3635, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:06:44.211010{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3643, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:07:44.227655{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 4154, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:08:44.233234{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3959, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:09:44.224035{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3908, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:11:42.626065{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3859, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:12:44.037769{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3799, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:13:44.301019{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3761, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:15:43.549303{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3830, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:15:43.919945{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3830, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
