2019-07-01T16:43:45.029685{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2922, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:44:44.328359{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2708, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:46:43.863545{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2596, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:48:43.746617{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2908, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:51:45.591573{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2871, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:53:43.747790{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2971, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:54:43.717846{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2942, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:55:43.887950{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2985, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:56:44.313397{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2915, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:57:44.368997{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2921, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
