2019-07-01T16:05:44.185962{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3459, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:06:44.219915{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3443, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:07:44.210100{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3353, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:08:44.190409{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3350, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:09:44.194124{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3346, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:10:44.028523{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3355, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:12:44.017175{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3447, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:13:44.214241{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3411, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:14:44.186202{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3420, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:15:43.924168{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': 'NAJLEPSZE MOMENTY RP!! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3428, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
