2019-07-01T16:58:44.252963{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1987, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:59:43.883238{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1979, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:00:44.637073{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1996, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:01:43.965845{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1999, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:09:44.944860{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1877, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:10:44.237521{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1844, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:11:44.276188{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1827, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:12:44.408174{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1831, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:13:44.273667{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1836, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:14:44.084449{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1806, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
