2019-07-01T16:31:44.497435{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1874, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:32:44.866280{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1951, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:33:44.487968{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1844, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:34:44.156614{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1714, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:36:43.907712{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1580, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:38:43.871877{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1642, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:40:43.937398{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1618, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:41:44.373362{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1606, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:42:44.322966{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1558, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:43:45.025645{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1558, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:45:43.919925{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1563, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:47:43.734119{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1571, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:48:43.729855{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1538, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:49:44.873085{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1478, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:50:44.313407{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1484, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:52:43.904306{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1498, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:54:43.724955{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1528, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
