2019-07-01T16:08:44.248326{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2919, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:43.688893{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2867, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.668346{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2992, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.024125{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2969, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.840117{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2825, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.496172{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2887, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.499276{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2768, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:43.007560{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2910, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.478714{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2875, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.362240{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2797, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524']}
