2019-07-01T16:54:43.735868{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2492, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:55:43.898172{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2479, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:56:44.315571{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2500, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:00:44.636970{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2384, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:01:43.989412{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2353, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:03:45.022699{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2381, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:04:44.169511{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2350, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:05:44.330968{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2313, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:06:44.061248{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2315, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T17:07:44.170068{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2353, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
