2019-07-01T16:28:44.502733{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3596, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:29:43.975715{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3580, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:30:44.321597{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3747, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.479236{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3835, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.826134{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3724, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.300516{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3390, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:34:44.107821{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3317, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:44.120519{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3376, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:43.962962{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3364, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:43.911071{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3597, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:44:45.606673{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3643, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:44.291841{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3782, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:43.869135{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3450, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:49:44.867125{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3428, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:50:44.272093{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3448, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:51:44.281505{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3457, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:53:43.747493{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3510, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:54:43.706940{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3504, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:55:43.878591{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3527, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:56:44.290164{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3588, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:57:44.290444{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3732, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:58:44.284696{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3795, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:59:43.942387{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3867, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:06:44.257274{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 4092, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:07:44.134658{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 4239, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:08:44.267748{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 4117, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
