2019-07-01T16:19:43.007771{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3869, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.478357{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3942, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.179499{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3903, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:43.908030{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3844, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:43.887615{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3815, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:38:44.216664{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3823, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:44.221455{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3872, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.057408{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3855, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:44:44.224833{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3720, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:44.220930{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3600, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
