2019-07-01T16:51:43.910895{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2019, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:53:43.757359{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1995, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:54:43.761809{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1991, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:56:44.443696{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1930, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:20:44.445999{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1887, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:21:44.174489{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1885, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:23:43.822852{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1889, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:23:44.334378{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1889, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:24:44.345247{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1906, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:25:44.191612{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1908, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:26:44.171344{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1911, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:27:44.124549{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1932, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
