2019-07-01T16:39:43.906570{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2548, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:43:45.024443{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2570, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:44:44.273742{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2688, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:45:44.291988{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2451, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:47:43.893577{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2606, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:49:44.873994{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 3089, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:50:44.281199{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2798, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:51:44.269386{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2789, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:53:43.743130{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2751, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:54:43.717851{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2752, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
