2019-07-01T17:03:44.281844{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2537, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:04:44.140661{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2563, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:05:44.295570{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2598, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:06:43.992262{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2592, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:07:44.154668{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2594, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:08:44.264641{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2629, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:09:44.265670{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2667, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:10:44.269967{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2647, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:11:44.308339{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2648, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:12:44.567288{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2648, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:13:44.282031{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2668, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:14:44.123788{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2685, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:15:44.006029{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2674, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:16:43.929866{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2719, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
