2019-07-01T16:58:43.593142{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2304, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:58:44.302701{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2304, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:59:43.985671{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2286, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:00:44.538210{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2295, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:01:43.987528{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2289, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:02:44.308489{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2266, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:03:44.304782{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2289, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:04:44.155552{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2180, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:05:44.317723{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 1835, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:06:44.065979{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 1608, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:07:44.174544{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 1608, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
