2019-07-01T16:45:43.905745{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2651, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:43.705391{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2635, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:48:43.702344{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2713, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:49:44.876824{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2671, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:51:43.992856{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2680, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:53:43.743102{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2709, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:54:43.735796{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2755, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:55:43.886660{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2712, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:56:44.309790{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2815, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:57:44.377249{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2890, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:58:44.310973{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2887, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:59:43.983027{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2923, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:00:44.455819{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2985, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:01:43.987370{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2967, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:02:44.489393{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2986, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:03:44.304665{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3116, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:06:44.312568{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3157, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:07:44.169281{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3153, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:09:44.857603{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3199, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:10:44.321246{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3238, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:11:44.316349{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3284, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:12:44.344006{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3202, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:13:44.323308{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3211, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:14:44.159029{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 3219, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
