2019-07-01T16:11:43.668277{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2603, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:12:44.075272{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2612, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:14:43.845452{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2579, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:16:43.518904{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2491, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:18:43.120947{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2471, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:19:43.802352{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2472, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:21:43.059792{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2478, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:23:43.474882{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2488, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:24:43.788742{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2491, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:25:43.959008{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2519, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
