2019-07-01T16:19:43.200992{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3946, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:20:43.466524{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3979, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:22:43.157764{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3808, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:24:44.435833{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3559, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:26:43.934434{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3548, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:27:44.242071{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3508, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:28:44.270321{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3505, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:29:43.947871{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3514, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:30:44.922968{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3535, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:31:44.308266{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3582, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
