2019-07-01T16:36:44.183871{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5150, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:44.174957{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5156, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:38:44.179127{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5239, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:44.248562{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5289, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:40:44.162165{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5315, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:41:44.229898{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5333, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:42:44.184999{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5351, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.024556{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5380, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:44:44.216735{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5368, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:44.205285{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5374, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:46:44.167617{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5401, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:44.032426{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5407, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:48:44.171447{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5402, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:49:44.852805{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5385, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
