2019-07-01T16:34:44.040498{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3767, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:35:44.092542{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3751, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:36:44.175972{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3791, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:37:44.180641{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3819, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:38:44.157788{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3823, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:39:44.195460{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3872, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:40:44.165348{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3870, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:41:44.199362{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3893, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:42:44.194656{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3963, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:43:45.016635{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3985, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
