2019-07-01T16:48:43.734018{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2169, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:49:44.856478{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2249, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:51:43.913272{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2299, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:53:43.792208{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2323, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:54:43.746834{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2355, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:58:43.633588{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2424, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:06:44.616142{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2224, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:08:43.989328{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2250, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:09:44.333768{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2242, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:10:44.334725{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2216, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
