2019-07-01T16:28:44.253664{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4516, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:29:43.986271{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4507, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['2a14b52e-d459-4c92-be11-5d86b898f6b6', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:30:44.321624{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4528, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:31:44.324092{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4472, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:32:44.846638{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4485, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:33:44.290292{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4502, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:34:44.053062{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4497, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:35:44.083464{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4481, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:37:43.917445{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4449, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:38:44.194992{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4427, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:39:44.208216{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4432, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:43:45.058354{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4435, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
