2019-07-01T16:10:44.053022{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3935, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:12:44.037770{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4015, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:13:44.205064{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3939, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:15:43.599574{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 0, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:15:43.910910{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 0, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:17:43.463898{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 2799, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:19:42.991897{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 2921, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:20:43.416179{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3171, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:21:43.451218{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 2971, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:22:43.817298{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 2951, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:24:43.646603{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 2979, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:25:42.617148{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3039, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:27:44.619605{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3089, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:28:44.245526{'id': '34745507520', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3067, 'started_at': datetime.datetime(2019, 7, 1, 23, 14, 12), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
