2019-07-02T12:18:06.387682{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15657, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:19:06.040072{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15467, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:20:06.273752{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15425, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:21:06.100845{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15453, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:22:06.330957{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15558, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:23:06.087028{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15646, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:24:06.331327{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15683, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:25:06.179395{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15696, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:26:06.261509{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15139, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:27:06.340491{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 14862, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
