2019-07-02T12:23:06.094408{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11027, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:24:06.342512{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11094, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:25:06.167712{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11079, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:26:06.248518{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11102, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:27:06.407301{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11191, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:28:06.094937{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11289, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:29:06.253555{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11282, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:30:06.318142{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11305, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:31:06.759147{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11386, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:32:06.017784{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11371, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:33:06.263173{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11363, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:34:05.965555{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11375, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:35:06.234547{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11449, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:36:06.286748{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11480, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:37:05.994550{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11514, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
