2019-05-31T10:35:17.786413{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 779, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:36:18.331276{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 769, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:37:18.110509{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 763, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:38:18.114630{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 771, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:39:18.113838{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 772, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:40:17.966074{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 773, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:41:18.181050{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 751, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:42:18.153022{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 755, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:43:18.157122{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 757, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:44:18.395146{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 770, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
