2019-05-31T10:26:34.204153{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 39344, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:27:33.866201{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 39030, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:28:34.209757{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 38436, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:29:33.908182{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 37829, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:30:34.203772{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 33979, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:31:34.196167{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 30481, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:32:34.045006{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 29796, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:33:34.044083{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 28156, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:34:34.209774{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 27769, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:35:34.053970{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 26987, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:36:34.048061{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 26813, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
